CookerStat, GenerateAssetRegistry=0.020169, Initialize=0.103954, RunGuid=RunIDD2CFF7CB4D73AC995A48B682C214D622
DDCTransactionId0F92EA674C43398A11C66EAA66E059A2_9, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_92959B184D235D47E__3C4DBE998736B95F1AF5EC762F78A465794CD34F, StartTime=2016.05.12-15.20.11, HierarchicalDDC=, DataSize=497, Duration=0.989862, RunGuid=RunIDD2CFF7CB4D73AC995A48B682C214D622
DDCTransactionId364493D14B35349DBB376A82BC768070_9, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_1A0B2C8A411BEAD8E__7AD229A2AFFD9E2B21DC01807B04DFB426D9A82B, StartTime=2016.05.12-15.20.11, HierarchicalDDC=, DataSize=785, Duration=0.937112, RunGuid=RunIDD2CFF7CB4D73AC995A48B682C214D622
DDCTransactionIdA3E1AE1E4DCEF0542572918ED31867AC_10, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_9FC96965425A7EE49__45BB78E57EB60F807C2C9AC2378704387E440661, StartTime=2016.05.12-15.20.11, HierarchicalDDC=, DataSize=497, Duration=1.436386, RunGuid=RunIDD2CFF7CB4D73AC995A48B682C214D622
DDCTransactionId0F92EA674C43398A11C66EAA66E059A2_10, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_83578ED14E99E58A7__4F74A5D069346E0F90EFEB0CEF0782D951CC7220, StartTime=2016.05.12-15.20.11, HierarchicalDDC=, DataSize=497, Duration=0.907943, RunGuid=RunIDD2CFF7CB4D73AC995A48B682C214D622
DDCTransactionId364493D14B35349DBB376A82BC768070_10, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_156E1474498425466__EACA9467215349D8C405D14B3E255619DDB17624, StartTime=2016.05.12-15.20.11, HierarchicalDDC=, DataSize=593, Duration=1.422420, RunGuid=RunIDD2CFF7CB4D73AC995A48B682C214D622
DDCTransactionIdA3E1AE1E4DCEF0542572918ED31867AC_11, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_33E9EC084F7924B84__BA44E1AC3E7460F31A81C2FA1C01DA9BDE57CB30, StartTime=2016.05.12-15.20.11, HierarchicalDDC=, DataSize=497, Duration=17.914928, RunGuid=RunIDD2CFF7CB4D73AC995A48B682C214D622
DDCTransactionId0F92EA674C43398A11C66EAA66E059A2_11, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_EE7B25444AE1FB2A9__16B087A6CBCE2236FAF1D0B22BADB66DB75D7D65, StartTime=2016.05.12-15.20.11, HierarchicalDDC=, DataSize=497, Duration=17.571426, RunGuid=RunIDD2CFF7CB4D73AC995A48B682C214D622
DDCTransactionId364493D14B35349DBB376A82BC768070_11, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_B63114BF461268FD6__892C7E6B9D7B6D0F98B808F6AB9597931BB5C7A2, StartTime=2016.05.12-15.20.11, HierarchicalDDC=, DataSize=593, Duration=1.044784, RunGuid=RunIDD2CFF7CB4D73AC995A48B682C214D622
DDCTransactionIdA3E1AE1E4DCEF0542572918ED31867AC_12, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_1BC9C9274263DE56B__49DDD28C2D9FF2E518A51C681C4BBFE7CD4A2727, StartTime=2016.05.12-15.20.11, HierarchicalDDC=, DataSize=497, Duration=1.398217, RunGuid=RunIDD2CFF7CB4D73AC995A48B682C214D622
DDCTransactionId0F92EA674C43398A11C66EAA66E059A2_12, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_50A288374AEBD818F__AC235EAB3D4E7F16FB1704DD77C3E9A780B165DB, StartTime=2016.05.12-15.20.11, HierarchicalDDC=, DataSize=497, Duration=1.077987, RunGuid=RunIDD2CFF7CB4D73AC995A48B682C214D622
DDCTransactionId364493D14B35349DBB376A82BC768070_12, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_639CCA9A45DE8ED38__4ED5BDEDB2D2E2881FFA60642640C0C31EBBF644, StartTime=2016.05.12-15.20.11, HierarchicalDDC=, DataSize=593, Duration=0.854880, RunGuid=RunIDD2CFF7CB4D73AC995A48B682C214D622
DDCTransactionIdA3E1AE1E4DCEF0542572918ED31867AC_13, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_9BC50D3D47E3D892F__31171B6199832855078BA8A0B1A7D50EA3B8F7BB, StartTime=2016.05.12-15.20.11, HierarchicalDDC=, DataSize=497, Duration=1.022752, RunGuid=RunIDD2CFF7CB4D73AC995A48B682C214D622
DDCTransactionId0F92EA674C43398A11C66EAA66E059A2_13, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_3E540CF9499C37A73__703B8F6743FB91F3C36E9C50F33F779995C0B1E6, StartTime=2016.05.12-15.20.11, HierarchicalDDC=, DataSize=497, Duration=1.166113, RunGuid=RunIDD2CFF7CB4D73AC995A48B682C214D622
DDCTransactionId364493D14B35349DBB376A82BC768070_13, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_53E96AD944CE46B19__3004D40D4F48E4033876EBEB174FE81591EE8E63, StartTime=2016.05.12-15.20.11, HierarchicalDDC=, DataSize=497, Duration=1.003515, RunGuid=RunIDD2CFF7CB4D73AC995A48B682C214D622
DDCTransactionIdA3E1AE1E4DCEF0542572918ED31867AC_14, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_BF521D6343A3859B5__D0450A76DF8710F470C5EAED779C8E11CDD64AD8, StartTime=2016.05.12-15.20.11, HierarchicalDDC=, DataSize=497, Duration=3.110770, RunGuid=RunIDD2CFF7CB4D73AC995A48B682C214D622
DDCTransactionId0F92EA674C43398A11C66EAA66E059A2_14, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_0AA2330844F321AEF__BF86030FDBCCEE3A4D77A900AE62332E51ADC8B5, StartTime=2016.05.12-15.20.11, HierarchicalDDC=, DataSize=497, Duration=1.396976, RunGuid=RunIDD2CFF7CB4D73AC995A48B682C214D622
DDCTransactionId364493D14B35349DBB376A82BC768070_14, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_E15A96C64E7378F4A__BC066EB1C2ECAFAB380313FD59D136EE7ACCC6FB, StartTime=2016.05.12-15.20.11, HierarchicalDDC=, DataSize=497, Duration=1.031131, RunGuid=RunIDD2CFF7CB4D73AC995A48B682C214D622
DDCTransactionIdA3E1AE1E4DCEF0542572918ED31867AC_15, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_610E98544C61BE217__1E39C4884B8CE5F354B82908B3D8D42819317238, StartTime=2016.05.12-15.20.11, HierarchicalDDC=, DataSize=497, Duration=1.044165, RunGuid=RunIDD2CFF7CB4D73AC995A48B682C214D622
