CookerStat, GenerateAssetRegistry=0.019856, Initialize=0.106744, RunGuid=RunIDC2474C444BCB7B2B03D5D1876E49DD4A
DDCTransactionId828C41E24ED41395DDCC7EBDCBB9E79F_9, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_AB63050149293C8B7__5993FA9F7947B4EED026C458DD78662F7243CE5E, StartTime=2016.05.12-15.36.52, HierarchicalDDC=, DataSize=785, Duration=1.469586, RunGuid=RunIDC2474C444BCB7B2B03D5D1876E49DD4A
DDCTransactionId7DC234004E32262DBD0BED993EBE87B0_9, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_C182A4564FC048BDC__27EAA538321DC5D35C6FFE4749B216118102F35C, StartTime=2016.05.12-15.36.52, HierarchicalDDC=, DataSize=593, Duration=1.596503, RunGuid=RunIDC2474C444BCB7B2B03D5D1876E49DD4A
DDCTransactionId7D5D9AEF4B14EC5FFB78619D991694FC_10, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_A2C4623D4D57D28F4__D761D921DB660AD7C3A651AF91264617A28EC9DC, StartTime=2016.05.12-15.36.52, HierarchicalDDC=, DataSize=593, Duration=1.355395, RunGuid=RunIDC2474C444BCB7B2B03D5D1876E49DD4A
DDCTransactionId828C41E24ED41395DDCC7EBDCBB9E79F_10, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_C5B656C84510FFF78__DA68BB8BDDB656A768D596006349C0E62805F341, StartTime=2016.05.12-15.36.52, HierarchicalDDC=, DataSize=641, Duration=1.400393, RunGuid=RunIDC2474C444BCB7B2B03D5D1876E49DD4A
DDCTransactionId7D5D9AEF4B14EC5FFB78619D991694FC_11, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_A94002BB4CE66466C__C1B318CCC4CA1F647060C5DEF8A5D5DD981E6E3F, StartTime=2016.05.12-15.36.52, HierarchicalDDC=, DataSize=3473, Duration=1.693625, RunGuid=RunIDC2474C444BCB7B2B03D5D1876E49DD4A
DDCTransactionId7DC234004E32262DBD0BED993EBE87B0_10, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_EC10E43545D5E94CB__73E9DD84BE86240E8D2E1A281D35B29A44D26D97, StartTime=2016.05.12-15.36.52, HierarchicalDDC=, DataSize=1937, Duration=1.372464, RunGuid=RunIDC2474C444BCB7B2B03D5D1876E49DD4A
DDCTransactionId828C41E24ED41395DDCC7EBDCBB9E79F_11, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_DB5D17E047378EC52__6FE56638859DE683D8C2462761CB44A2EDD5BDC4, StartTime=2016.05.12-15.36.52, HierarchicalDDC=, DataSize=1169, Duration=1.405355, RunGuid=RunIDC2474C444BCB7B2B03D5D1876E49DD4A
DDCTransactionId7DC234004E32262DBD0BED993EBE87B0_11, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_AE4658EB47EA72C8B__670AE3D0A1A05207C193C6B48627B78BD950BB8A, StartTime=2016.05.12-15.36.52, HierarchicalDDC=, DataSize=497, Duration=1.630012, RunGuid=RunIDC2474C444BCB7B2B03D5D1876E49DD4A
DDCTransactionId7D5D9AEF4B14EC5FFB78619D991694FC_12, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_FD1E7ABC4D6310D09__B9ABA567F953BA6F172EC9906DA11D1F9430A5F0, StartTime=2016.05.12-15.36.52, HierarchicalDDC=, DataSize=497, Duration=1.669109, RunGuid=RunIDC2474C444BCB7B2B03D5D1876E49DD4A
DDCTransactionId828C41E24ED41395DDCC7EBDCBB9E79F_12, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_3A70166744F17DD2F__49F55FD4209573638657D1137B312682F8579F48, StartTime=2016.05.12-15.36.52, HierarchicalDDC=, DataSize=497, Duration=1.763131, RunGuid=RunIDC2474C444BCB7B2B03D5D1876E49DD4A
